LocationLevel2ID,ADM1,ADM2,Sec_Code
ARE021005,Giza,Bulaq Al Daqrur,2105
ARE021001,Giza,Imbaba,2101
ARE021007,Giza,Kerdasa,2115
ARE021004,Giza,North Giza,2104
ARE021016,Giza,South Giza,2104
ARE005003,Cairo,15th Of May,104
ARE005011,Cairo,Al Saaf,2113
ARE005001,Cairo,Al Tibbin,101
ARE005012,Cairo,Atfeeh,2114
ARE005010,Cairo,Badr City,146
ARE005009,Cairo,El-sherouk,145
ARE005002,Cairo,Helwan,102
ARE005004,Cairo,Maadi,106
ARE005006,Cairo,New Cairo (1),143
ARE005007,Cairo,New Cairo (2),144
ARE005008,Cairo,New Cairo (3),145
ARE005005,Cairo,Turra,105
ARE019002,Ismailia,Abo Sweer Al Mahata,1908
ARE019001,Ismailia,Al Ismailia,9914
ARE019003,Ismailia,Altal Elkebir,1909
ARE019004,Ismailia,El Qantara Gharb,1905
ARE019005,Ismailia,El Qantara Shark,1906
ARE019006,Ismailia,Fayed,1907
ARE019007,Ismailia,New Alkasaseen,1910
ARE015001,Kafr El-Shikh,Al Hamoul,1505
ARE015002,Kafr El-Shikh,Alreyad,1504
ARE015003,Kafr El-Shikh,Baltim,1508
ARE015004,Kafr El-Shikh,Bella,1506
ARE015005,Kafr El-Shikh,Desouk,1513
ARE015006,Kafr El-Shikh,Fouh,1510
ARE015007,Kafr El-Shikh,Kafr El Sheikh,9911
ARE015008,Kafr El-Shikh,Motobas,1509
ARE015009,Kafr El-Shikh,Qalin,1514
ARE015010,Kafr El-Shikh,Sidi Salem,1511
ARE029001,Luxor,Bayadeya,2901
ARE029002,Luxor,Luxor,2901
ARE029003,Luxor,Thebes,2903
ARE033001,Matrouh,Al Dabaa,3305
ARE033002,Matrouh,Al Hammam,3308
ARE033003,Matrouh,Al Nagielah,3302
ARE033004,Matrouh,Al Salloum,3304
ARE033005,Matrouh,Alalameen,3306
ARE033006,Matrouh,Mersa Matrouh,3301
ARE033007,Matrouh,Sidi Barrani,3303
ARE033008,Matrouh,Siwa Oasis,3309
ARE033009,Matrouh,The North Coast,3310
ARE024001,Menia,Abokerkas,2406
ARE024002,Menia,Al Adwa,2415
ARE024003,Menia,Al Menia,9916
ARE024004,Menia,Beni Mazar,2413
ARE024005,Menia,Dermowoas,2409
ARE024006,Menia,Maghagha,2414
ARE024007,Menia,Malawi,2408
ARE024008,Menia,Matay,2412
ARE024009,Menia,New Minya,2404
ARE024010,Menia,Samalut,9917
ARE017001,Menoufia,Al Shohadaa,1703
ARE017002,Menoufia,Albagour,1707
ARE017003,Menoufia,Alsadat,1712
ARE017004,Menoufia,Ashmoun,1708
ARE017005,Menoufia,Berket Alsabaa,1705
ARE017006,Menoufia,Hay Sharq,1701
ARE017007,Menoufia,Menouf,1711
ARE017008,Menoufia,Quesna,1706
ARE017009,Menoufia,Sers Alayyan,1709
ARE017010,Menoufia,Shebin El Koum,1701
ARE017011,Menoufia,Tala,1704
ARE032001,New Valley,Dakhla Oasis,3205
ARE032002,New Valley,Farafra Oasis,3204
ARE032003,New Valley,Kharga Oasis,3201
ARE032004,New Valley,Paris Oasis,3202
ARE032005,New Valley,Sharq Alowaynat,3206
ARE034001,North Sinai,Al Arish,9922
ARE034002,North Sinai,Al Hasna,3407
ARE034003,North Sinai,Al Sheikh Zoweyd,3410
ARE034004,North Sinai,Bir Al-abed,3405
ARE034005,North Sinai,Nakhl,3408
ARE034006,North Sinai,Rafah,3411
ARE003001,Port Said,Al Arab,302
ARE003002,Port Said,Al Dawahy,304
ARE003003,Port Said,Al Manakh,303
ARE003004,Port Said,Al Manasra,306
ARE003005,Port Said,East Portsaid,301
ARE003006,Port Said,Mubark,311
ARE003007,Port Said,Port Fouad,9906
ARE003008,Port Said,Port Said Port,312
ARE003009,Port Said,South Portsaid,9907
ARE003010,Port Said,Zohour,305
ARE014001,Kalyoubia,Al Obour,1416
ARE014002,Kalyoubia,Al Qanatir Al -khayriyyah,1407
ARE014003,Kalyoubia,Alkhankah,1414
ARE014004,Kalyoubia,Banha,1403
ARE014005,Kalyoubia,Kafr Shokr,1404
ARE014007,Kalyoubia,Qaha,1406
ARE014008,Kalyoubia,Qalyub,1408
ARE014009,Kalyoubia,Shibin Al-qanater,1413
ARE014006,Kalyoubia,Shubra Al Kaymah,9910
ARE014010,Kalyoubia,Toukh,1405
ARE027001,Qena,Abo Tesht,2707
ARE027002,Qena,Alwakf,2704
ARE027003,Qena,Armant,2905
ARE027004,Qena,Deshna,2703
ARE027005,Qena,Esna,2906
ARE027006,Qena,Farshout,2706
ARE027007,Qena,Naga Hammadi,2705
ARE027008,Qena,Nakada,2710
ARE027009,Qena,New Qena,2711
ARE027010,Qena,Qeft,2709
ARE027011,Qena,Qena,2701
ARE027012,Qena,Quos,2709
ARE013003,Sharkia, al Qanayat,1304
ARE013002,Sharkia,Abouhmadd,1310
ARE013001,Sharkia,Abu Kabir,1314
ARE013004,Sharkia,Al Husseiniya,1319
ARE013005,Sharkia,Al Ibrahimeya,1313
ARE013006,Sharkia,Al Qareen,1322
ARE013007,Sharkia,Al Zagazig,9909
ARE013008,Sharkia,Awlad Saqr,1316
ARE013009,Sharkia,Belbais,1307
ARE013010,Sharkia,Derb Negm,1312
ARE013011,Sharkia,Faqous,1320
ARE013012,Sharkia,Hehia,1311
ARE013013,Sharkia,Kafr Saqr,1315
ARE013014,Sharkia,Mashtool Alswouq,1306
ARE013015,Sharkia,Minya Aalghemhh,1305
ARE026001,Suhag,Akhmeem,2615
ARE026002,Suhag,Al Balina,2613
ARE026003,Suhag,Al Kawthar,2617
ARE026004,Suhag,Al Mansha,2609
ARE026005,Suhag,Al Maragha,2604
ARE026006,Suhag,Dar Al Salaam,2614
ARE026007,Suhag,Garga,9924
ARE026008,Suhag,Juhaynah,2605
ARE026009,Suhag,New Akhmim,2618
ARE026010,Suhag,New Sohag,2619
ARE026011,Suhag,Saqulta,2616
ARE026012,Suhag,Sohag,9919
ARE026013,Suhag,Tahta,2606
ARE026014,Suhag,Tama,2608
ARE035001,South Sinai,Abo Rdis,3502
ARE035002,South Sinai,Abo Znema,3502
ARE035003,South Sinai,Abosemh,NA
ARE035004,South Sinai,Dahab,3507
ARE035005,South Sinai,Nuweiba,3505
ARE035006,South Sinai,Sharm El-sheikh,9923
ARE035007,South Sinai,Sidr,3503
ARE035008,South Sinai,St. Catherine,3504
ARE035009,South Sinai,Taba,3506
ARE035010,South Sinai,Toor Sina,3501
ARE004002,Suez,Al Ganayen,405
ARE004001,Suez,Al Rbaaan,402
ARE004003,Suez,Ataka,403
ARE004004,Suez,Faisal,404
ARE004005,Suez,Suez,401
ARE004006,Suez,Suez Port,406
ARE031001,Red Sea,Al Kaseer,3105
ARE031002,Red Sea,Al Shalatin,3107
ARE031003,Red Sea,Gulf Of Sueiz,NA
ARE031004,Red Sea,Hurghada,9921
ARE031005,Red Sea,Marsa Alam,3106
ARE031006,Red Sea,Ras Ghareb,3103
ARE031007,Red Sea,Safaga,3104
